18,13,7
11,3,14
14,13,3
2,11,14
8,16,9
8,4,7
14,15,6
3,10,6
19,7,9
6,16,13
7,16,12
15,6,7
7,5,9
16,10,6
6,12,5
10,1,10
12,15,5
17,8,8
7,5,10
13,11,3
2,13,9
4,4,9
8,14,4
10,16,4
14,10,4
10,20,10
3,9,14
13,14,17
11,7,4
2,11,15
10,15,5
9,3,8
14,4,6
5,14,12
3,14,9
10,17,14
5,10,4
9,4,4
5,6,6
4,6,7
4,7,7
8,4,4
5,8,6
12,4,4
2,10,7
6,8,3
7,9,4
3,9,7
2,9,8
12,6,3
14,6,5
17,8,6
11,6,3
5,9,5
19,9,6
7,6,4
17,11,7
13,8,4
13,6,4
8,11,4
4,10,5
18,9,7
8,6,6
10,5,4
8,6,5
5,12,4
14,7,4
13,7,3
12,7,4
15,8,5
3,11,5
10,9,3
7,10,4
6,5,6
18,10,7
8,8,3
12,6,5
16,9,6
3,11,7
4,11,8
10,8,2
10,7,5
9,6,3
5,8,5
12,8,4
5,8,4
4,9,6
6,7,5
18,10,5
17,11,6
6,7,6
6,9,5
7,8,4
9,7,5
2,11,6
11,6,5
18,9,5
7,7,3
6,12,3
4,8,7
7,11,3
17,10,6
6,7,4
17,9,5
9,5,4
9,9,3
11,5,4
7,10,5
15,7,5
3,12,6
2,13,11
2,13,11
2,13,11
4,9,7
5,11,3
7,6,5
10,6,3
11,8,3
8,5,4
19,10,6
17,9,7
5,13,4
6,13,3
12,5,4
8,7,4
4,11,5
6,9,4
6,11,3
17,12,7
10,7,3
7,13,3
9,8,2
7,6,6
13,6,5
6,10,3
8,6,3
5,5,7
4,11,4
18,8,6
8,12,3
5,4,7
9,7,3
1,11,11
